Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_1206_3216Metric",145.950000,-114.850000,-90.000000,top
"C2","4.7uF","C_1206_3216Metric",147.450000,-119.500000,0.000000,top
"C3","10uF","C_0805_2012Metric",147.900000,-57.456250,-90.000000,top
"C4","0.1uF","C_0805_2012Metric",149.850000,-113.450000,180.000000,top
"C5","0.1uF","C_0805_2012Metric",149.000000,-116.300000,-90.000000,top
"C6","0.1uF","C_0805_2012Metric",164.400000,-116.000000,180.000000,top
"C7","4.7pF","C_0603_1608Metric",169.875000,-108.750000,0.000000,top
"C8","1uF","C_0805_2012Metric",157.850000,-73.156250,0.000000,top
"C9","0.1uF","C_0805_2012Metric",156.400000,-107.800000,180.000000,top
"C10","47uF","C_1206_3216Metric",175.800000,-111.600000,-90.000000,top
"C11","1uF","C_0805_2012Metric",171.450000,-115.500000,-90.000000,top
"C12","1uF","C_0805_2012Metric",157.750000,-59.306250,90.000000,top
"C13","T490B157M010ATE500","T490B",181.700000,-113.150000,-90.000000,top
"C14","4.7uF","C_1206_3216Metric",178.750000,-90.450000,-90.000000,top
"C15","4.7uF","C_1206_3216Metric",174.900000,-88.500000,-90.000000,top
"C16","10u","C_0805_2012Metric",186.400000,-112.650000,-90.000000,top
"C17","0.1u","C_0805_2012Metric",189.300000,-112.650000,-90.000000,top
"C18","0.1uF","C_0805_2012Metric",196.050000,-88.750000,-90.000000,top
"C19","0.1uF","C_0805_2012Metric",179.350000,-86.950000,180.000000,top
"C20","0.1uF","C_0805_2012Metric",176.350000,-84.850000,180.000000,top
"C21","1uF","C_0805_2012Metric",165.450000,-112.750000,0.000000,top
"C22","4.7pF","C_0603_1608Metric",196.550000,-79.700000,0.000000,top
"C23","10uF","C_0805_2012Metric",167.050000,-51.306250,0.000000,top
"C24","47uF","CP_Elec_5x5.4",172.700000,-51.500000,-90.000000,top
"C25","47uF","CP_Elec_5x5.4",179.950000,-51.550000,-90.000000,top
"C26","0.1uF","C_0805_2012Metric",182.350000,-81.600000,-90.000000,top
"C27","47uF","C_1206_3216Metric",201.600000,-93.250000,0.000000,top
"C28","0.1u","C_0805_2012Metric",199.900000,-113.150000,-90.000000,top
"C29","1uF","C_0805_2012Metric",205.700000,-91.350000,-90.000000,top
"C30","T490B157M010ATE500","T490B",205.100000,-115.400000,-90.000000,top
"C31","1uF","C_0805_2012Metric",200.300000,-83.650000,90.000000,top
"C35","4.7uF","C_1206_3216Metric",174.600000,-64.706250,180.000000,top
"C36","4.7uF","C_1206_3216Metric",173.430000,-68.711250,-90.000000,top
"C37","4.7uF","C_1206_3216Metric",143.550000,-93.250000,-90.000000,top
"C38","4.7uF","C_1206_3216Metric",139.600000,-94.500000,180.000000,top
"C40","0.1uF","C_0805_2012Metric",184.900000,-62.756250,-90.000000,top
"C41","0.1uF","C_0805_2012Metric",180.550000,-64.406250,180.000000,top
"C42","0.1uF","C_0805_2012Metric",191.350000,-76.600000,0.000000,top
"C43","0.1uF","C_0805_2012Metric",146.750000,-92.650000,-90.000000,top
"C44","0.1uF","C_0805_2012Metric",147.850000,-95.600000,0.000000,top
"C45","0.1uF","C_0805_2012Metric",164.150000,-96.550000,90.000000,top
"C46","4.7pF","C_0603_1608Metric",207.450000,-65.906250,180.000000,top
"C47","4.7pF","C_0603_1608Metric",166.450000,-89.150000,-90.000000,top
"C48","0.1uF","C_0805_2012Metric",152.950000,-87.600000,-90.000000,top
"C49","0.1uF","C_0805_2012Metric",182.000000,-67.706250,90.000000,top
"C50","47uF","C_1206_3216Metric",203.800000,-75.650000,-90.000000,top
"C51","47uF","C_1206_3216Metric",165.200000,-100.800000,-90.000000,top
"C52","1uF","C_0805_2012Metric",207.250000,-74.556250,-90.000000,top
"C53","1uF","C_0805_2012Metric",169.300000,-100.600000,-90.000000,top
"C54","T490B157M010ATE500","T490B",178.250000,-97.550000,0.000000,top
"C55","10u","C_0805_2012Metric",177.700000,-101.500000,0.000000,top
"C56","0.1u","C_0805_2012Metric",177.800000,-104.700000,0.000000,top
"C57","1uF","C_0805_2012Metric",167.050000,-93.050000,0.000000,top
"C58","1uF","C_0805_2012Metric",196.650000,-68.306250,0.000000,top
"C63","0.1u","C_0805_2012Metric",191.800000,-99.200000,90.000000,top
"C65","T490B157M010ATE500","T490B",195.550000,-102.850000,-90.000000,top
"D1","ZLLS500QTA","ZLLS500QTA",142.650000,-51.856250,0.000000,top
"D2","ZLLS500QTA","ZLLS500QTA",166.200000,-61.806250,0.000000,top
"D3","ZLLS500QTA","ZLLS500QTA",166.250000,-67.456250,0.000000,top
"D4","ZLLS500QTA","ZLLS500QTA",186.000000,-44.206250,0.000000,top
"D6","BLUE","LED_1206_3216Metric",193.850000,-60.550000,0.000000,top
"H1","Conn_02x26_Odd_Even","PinHeader_2x26_P2.54mm_Vertical",216.060000,-52.750000,0.000000,top
"H2","Conn_02x26_Odd_Even","PinHeader_2x26_P2.54mm_Vertical",222.410000,-52.750000,0.000000,top
"IC1","LT3652HVEMSE#PBF","MSOP-12-1EP_3x4mm_P0.65mm_EP1.65x2.85mm",153.590000,-64.646250,0.000000,top
"IC1_3.3V1","LT8610","MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm",159.785000,-111.740000,0.000000,top
"IC1_3.3V2","LT8610","MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm",188.535000,-85.160000,0.000000,top
"IC1_5V1","LT8610","MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm",159.350000,-91.550000,0.000000,top
"IC1_5V2","LT8610","MSOP-16-1EP_3x4.039mm_P0.5mm_EP1.651x2.845mm",188.065000,-68.446250,0.000000,top
"IC2","TPS2557DRBR","SON50P300X300X80-9N-D",194.450000,-111.950000,0.000000,top
"IC3","TPS2557DRBR","SON50P300X300X80-9N-D",186.100000,-99.600000,0.000000,top
"J1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",137.450000,-71.581250,0.000000,top
"J2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",137.450000,-66.746250,180.000000,top
"J2_In1","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",153.760000,-126.550000,90.000000,top
"J2_In2","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",187.225000,-126.550000,90.000000,top
"J2_In3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",168.675000,-43.256250,90.000000,top
"J2_In4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",178.625000,-126.550000,-90.000000,top
"J2_In5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",164.910000,-126.550000,90.000000,top
"J2_In6","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",137.700000,-87.375000,0.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",137.450000,-48.731250,0.000000,top
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",137.450000,-56.231250,0.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",191.910000,-43.106250,90.000000,top
"J6","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",202.360000,-43.106250,-90.000000,top
"J7","Conn_01x01","PinHeader_1x01_P2.54mm_Vertical",210.150000,-43.350000,0.000000,top
"J8","SWD","PinHeader_2x05_P1.27mm_Vertical",137.250000,-78.540000,0.000000,top
"J10","M20-9990246","HDRV2W66P0X254_1X2_508X254X874P",138.980000,-119.700000,0.000000,top
"J11","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",139.000000,-110.925000,0.000000,top
"J13","M20-9990246","HDRV2W66P0X254_1X2_508X254X874P",147.520000,-126.550000,180.000000,top
"L1","2.2uH","L_Coilcraft_XAL5030-XXX",159.555000,-119.800000,0.000000,top
"L2","68uH","SLO1365H680MTT",157.400000,-48.700000,0.000000,top
"L3","2.2uH","L_Coilcraft_XAL5030-XXX",191.550000,-91.150000,-90.000000,top
"L4","2.2uH","L_Coilcraft_XAL5030-XXX",197.000000,-73.106250,0.000000,top
"L5","2.2uH","L_Coilcraft_XAL5030-XXX",158.800000,-99.350000,0.000000,top
"Q1","FDS6630A","SOIC127P600X175-8N",207.562000,-50.851250,0.000000,top
"R1","412k","R_1206_3216Metric",168.400000,-106.500000,0.000000,top
"R2","49.9k","R_0805_2012Metric",165.450000,-110.150000,0.000000,top
"R3","1M","R_1206_3216Metric",170.950000,-111.950000,0.000000,top
"R4","47k","R_0603_1608Metric",147.150000,-63.206250,-90.000000,top
"R5","65k","R_0603_1608Metric",147.200000,-67.356250,0.000000,top
"R6","1M","R_1206_3216Metric",153.200000,-112.500000,90.000000,top
"R7","150k","R_0805_2012Metric",148.550000,-109.950000,90.000000,top
"R8","18.2k","R_0805_2012Metric",152.550000,-108.650000,180.000000,top
"R9","1M","R_1206_3216Metric",198.850000,-47.806250,180.000000,top
"R10","4.7k","R_0805_2012Metric",201.300000,-51.056250,180.000000,top
"R11","220k","R_0805_2012Metric",156.250000,-68.806250,0.000000,top
"R12","47k","R_0603_1608Metric",161.600000,-61.250000,0.000000,top
"R13","220k","R_0805_2012Metric",160.350000,-68.900000,-90.000000,top
"R14","412k","R_1206_3216Metric",189.250000,-79.300000,180.000000,top
"R15","0.1","R_1206_3216Metric",165.500000,-56.750000,-90.000000,top
"R16","49.9k","R_0805_2012Metric",194.300000,-83.950000,180.000000,top
"R17","1M","R_1206_3216Metric",193.500000,-80.450000,90.000000,top
"R18","0.01","R_0805_2012Metric",212.250000,-53.750000,-90.000000,top
"R19","1M","R_1206_3216Metric",182.600000,-86.187500,90.000000,top
"R20","150k","R_0805_2012Metric",182.200000,-90.450000,180.000000,top
"R21","0.1","R_1206_3216Metric",169.750000,-58.006250,0.000000,top
"R22","10K","R_0805_2012Metric",192.200000,-108.550000,0.000000,top
"R23","18.2k","R_0805_2012Metric",179.250000,-82.600000,180.000000,top
"R24","20K","R_0805_2012Metric",196.800000,-115.250000,0.000000,top
"R25","20K","R_0805_2012Metric",196.800000,-117.800000,180.000000,top
"R27","10k","R_0805_2012Metric",166.200000,-72.706250,0.000000,top
"R28","10k","R_0805_2012Metric",151.400000,-71.906250,-90.000000,top
"R29","0.01","R_0805_2012Metric",177.750000,-44.306250,90.000000,top
